detectedPrefecture,
Aichi,aichi
Akita,akita
Aomori,aomori
Chiba,chiba
Ehime,ehime
Fukui,fukui
Fukuoka,fukuoka
Fukushima,fukushima
Gifu,gifu
Gunma,gunma
Hiroshima,hiroshima
Hokkaido,hokkaido
Hyogo,hyogo
Ibaraki,ibaraki
Ishikawa,ishikawa
Iwate,iwate
Kagawa,kagawa
Kagoshima,kagoshima
Kanagawa,kanagawa
Kochi,kochi
Kumamoto,kumamoto
Kyoto,kyoto
Mie,mie
Miyagi,miyagi
Miyazaki,miyazaki
Nagano,nagano
Nagasaki,nagasaki
Nara,nara
Niigata,niigata
Oita,oita
Okayama,okayama
Okinawa,okinawa
Osaka,osaka
Port Quarantine,
Saga,saga
Saitama,saitama
Shiga,shiga
Shimane,shimane
Shizuoka,shizuoka
Tochigi,tochigi
Tokushima,tokushima
Tokyo,tokyo
Tottori,tottori
Toyama,toyama
Unspecified,
Wakayama,wakayama
Yamagata,yamagata
Yamaguchi,yamaguchi
Yamanashi,yamanashi
