japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-01-31,17481.833984375,17410.96875,17957.52734375,600.8656616211,598.5551147461,644.1739501953,1374.3513183594,1364.6245117188,1471.5162353516,15498.564453125,15439.8271484375,15831.2431640625,,,,,2021-01-30,3.8656616211000028,184.833984375,,,北海道
JP-01,HOKKAIDO,2021-02-01,17576.658203125,17441.380859375,18484.751953125,604.7857055664,600.3667602539,687.6148681641,1362.7655029297,1344.4400634766,1545.8367919922,15599.1611328125,15486.83984375,16235.4033203125,,,,,2021-01-30,3.9200439452999944,94.82421875,,,北海道
JP-01,HOKKAIDO,2021-02-02,17658.396484375,17464.830078125,18954.990234375,608.7141723633,602.3702392578,727.6265258789,1341.0317382812,1315.3100585938,1597.9954833984,15699.8427734375,15538.611328125,16613.0390625,,,,,2021-01-30,3.9284667969000111,81.73828125,,,北海道
JP-01,HOKKAIDO,2021-02-03,17746.171875,17499.548828125,19395.560546875,612.5880737305,604.4870605469,764.4439697266,1328.4577636719,1296.1228027344,1651.4782714844,15796.4375,15590.5849609375,16961.529296875,,,,,2021-01-30,3.8739013672000056,87.775390625,,,北海道
JP-01,HOKKAIDO,2021-02-04,17911.431640625,17614.287109375,19905.369140625,616.301574707,606.5981445312,798.2095336914,1386.3852539062,1346.1691894531,1787.8795166016,15896.3828125,15649.7275390625,17291,,,,,2021-01-30,3.7135009764999722,165.259765625,,,北海道
JP-01,HOKKAIDO,2021-02-05,18004.15234375,17662.87109375,20285.5390625,620.220703125,609.0491333008,829.6664428711,1373.3195800781,1327.7274169922,1828.3762207031,16002.4619140625,15718.376953125,17607.326171875,,,,,2021-01-30,3.9191284180000139,92.720703125,,,北海道
JP-01,HOKKAIDO,2021-02-06,18091.00390625,17709.634765625,20637.041015625,624.2672119141,611.748840332,858.9750366211,1352.9635009766,1302.9565429688,1852.0775146484,16104.4208984375,15786.126953125,17901.26953125,,,,,2021-01-30,4.0465087891000167,86.8515625,,,北海道
JP-01,HOKKAIDO,2021-02-07,18182.66796875,17764.65625,20970.08203125,628.3343505859,614.5806884766,886.2180175781,1337.3909912109,1283.4378662109,1875.9388427734,16206.8798828125,15857.2216796875,18179.82421875,,,,,2021-01-30,4.0671386717999667,91.6640625,,,北海道
JP-01,HOKKAIDO,2021-02-08,18271.30859375,17819.958984375,21274.859375,632.3223876953,617.4370117188,911.4364624023,1325.7198486328,1268.2047119141,1899.8430175781,16304.3056640625,15925.97265625,18437.328125,,,,,2021-01-30,3.9880371094000111,88.640625,,,北海道
JP-01,HOKKAIDO,2021-02-09,18395.029296875,17911.517578125,21617.025390625,636.3165893555,620.3913574219,934.9332275391,1345.6507568359,1283.5751953125,1965.2180175781,16401.130859375,15996.4921875,18680.494140625,,,,,2021-01-30,3.9942016602000194,123.720703125,,,北海道
JP-01,HOKKAIDO,2021-02-10,18526.591796875,18013.103515625,21949.419921875,640.4556884766,623.5703125,957.0810546875,1374.0797119141,1307.2674560547,2040.646484375,16500.1015625,16071.2373046875,18913.95703125,,,,,2021-01-30,4.1390991211000028,131.5625,,,北海道
JP-01,HOKKAIDO,2021-02-11,18610.240234375,18071.43359375,22191.5859375,644.7352905273,626.9608764648,978.0336914062,1362.4521484375,1293.1680908203,2053.5764160156,16594.140625,16143.1142578125,19130.947265625,,,,,2021-01-30,4.2796020506999639,83.6484375,,,北海道
JP-01,HOKKAIDO,2021-02-12,18712.43359375,18149.357421875,22455.80078125,648.9635620117,630.3692626953,997.6363525391,1365.5026855469,1293.3209228516,2085.419921875,16687.33984375,16215.9345703125,19337.1796875,,,,,2021-01-30,4.2282714844000111,102.193359375,,,北海道
JP-01,HOKKAIDO,2021-02-13,18788.396484375,18204.544921875,22658.98046875,653.2227172852,633.8693237305,1016.1297607422,1346.2673339844,1272.6848144531,2080.1691894531,16780.71484375,16290.509765625,19534.59375,,,,,2021-01-30,4.2591552735000278,75.962890625,,,北海道
JP-01,HOKKAIDO,2021-02-14,18857.685546875,18255.169921875,22843.068359375,657.3983154297,637.3440551758,1033.4467773438,1320.3626708984,1246.0684814453,2061.4235839844,16872.5078125,16365.0029296875,19722.220703125,,,,,2021-01-30,4.1755981444999861,69.2890625,,,北海道
JP-01,HOKKAIDO,2021-02-15,19008.771484375,18384.453125,23154.064453125,661.4667358398,640.7662963867,1049.638671875,1364.7893066406,1285.9898681641,2150.6596679688,16969.990234375,16446.32421875,19909.125,,,,,2021-01-30,4.068420410099975,151.0859375,,,北海道
JP-01,HOKKAIDO,2021-02-16,19066.32421875,18427.572265625,23284.05078125,665.7007446289,644.3949584961,1065.2329101562,1321.9202880859,1243.8731689453,2100.3581542969,17072.3671875,16533.5625,20095.494140625,,,,,2021-01-30,4.2340087891000167,57.552734375,,,北海道
JP-01,HOKKAIDO,2021-02-17,19148.46484375,18494.986328125,23457.40625,669.6498413086,647.7893066406,1079.5895996094,1295.3630371094,1217.3643798828,2073.3820800781,17176.28125,16623.34765625,20278.0546875,,,,,2021-01-30,3.9490966797000056,82.140625,,,北海道
JP-01,HOKKAIDO,2021-02-18,19224.134765625,18557.712890625,23607.16015625,673.4457397461,651.0739746094,1092.9812011719,1259.6689453125,1182.4901123047,2029.5682373047,17284.546875,16718.3046875,20460.482421875,,,,,2021-01-30,3.7958984375,75.669921875,,,北海道
JP-01,HOKKAIDO,2021-02-19,19274.978515625,18598.208984375,23709.43359375,677.1954956055,654.348815918,1105.6478271484,1202.0899658203,1127.2973632812,1948.2395019531,17390.328125,16811.7265625,20635.30859375,,,,,2021-01-30,3.7497558594000111,50.84375,,,北海道
JP-01,HOKKAIDO,2021-02-20,19329.44140625,18642.958984375,23815.451171875,680.8419799805,657.5559082031,1117.5515136719,1150.4934082031,1077.9282226562,1874.4677734375,17492.205078125,16902.1640625,20800.9453125,,,,,2021-01-30,3.646484375,54.462890625,,,北海道
JP-01,HOKKAIDO,2021-02-21,19385.04296875,18689.59375,23916.599609375,684.3804321289,660.6876831055,1128.7384033203,1106.4364013672,1035.7995605469,1811.2104492188,17588.9375,16988.353515625,20956.30078125,,,,,2021-01-30,3.5384521483999833,55.6015625,,,北海道
JP-01,HOKKAIDO,2021-02-22,19452.5859375,18747.90234375,24039.92578125,687.897644043,663.8246459961,1139.4077148438,1080.76953125,1011.0235595703,1776.6949462891,17677.314453125,17067.126953125,21098.216796875,,,,,2021-01-30,3.5172119141000167,67.54296875,,,北海道
JP-01,HOKKAIDO,2021-02-23,19526.890625,18813.228515625,24167.447265625,691.3424072266,666.9153442383,1149.5109863281,1066.2841796875,996.8091430664,1759.5358886719,17762.7109375,17143.62890625,21232.8125,,,,,2021-01-30,3.4447631836000028,74.3046875,,,北海道
JP-01,HOKKAIDO,2021-02-24,19588.08203125,18866.81640625,24269.904296875,694.8327636719,670.0709228516,1159.2946777344,1044.3558349609,975.7237548828,1729.2214355469,17843.048828125,17215.78515625,21358.41015625,,,,,2021-01-30,3.4903564452999944,61.19140625,,,北海道
JP-01,HOKKAIDO,2021-02-25,19642.88671875,18914.83203125,24362.27734375,698.3409423828,673.2628173828,1168.7482910156,1020.595703125,953.0098266602,1695.0441894531,17917.904296875,17283.1484375,21474.587890625,,,,,2021-01-30,3.5081787108999833,54.8046875,,,北海道
JP-01,HOKKAIDO,2021-02-26,19693.900390625,18959.77734375,24444.37109375,701.7280273438,676.3556518555,1177.6690673828,996.9315185547,930.4599609375,1660.2775878906,17989.658203125,17347.970703125,21584.23828125,,,,,2021-01-30,3.3870849610000278,51.013671875,,,北海道
JP-01,HOKKAIDO,2021-02-27,19743.513671875,19003.765625,24523.13671875,704.9455566406,679.3010253906,1186.0073242188,976.1953735352,910.7075805664,1629.7407226562,18057.107421875,17409.052734375,21686.359375,,,,,2021-01-30,3.2175292967999667,49.61328125,,,北海道
JP-02,AOMORI,2021-01-31,714.5399780273,711.6401367188,734.5447387695,13.1316452026,13.0798797607,14.0921840668,48.9481506348,48.5997848511,52.439907074,650.2229614258,647.7498779297,665.1017456055,,,,,2021-01-30,0.13164520259999968,3.5399780272999806,,,青森県
JP-02,AOMORI,2021-02-01,717.6617431641,712.1454467773,755.2697143555,13.268901825,13.1697978973,15.1102724075,48.7948799133,48.1353225708,55.4041633606,654.1032714844,649.3788452148,682.3955078125,,,,,2021-01-30,0.13725662240000069,3.1217651368000361,,,青森県
JP-02,AOMORI,2021-02-02,720.5430908203,712.6638183594,773.8127441406,13.4052848816,13.2628936768,16.0542049408,47.9240570068,47.0007781982,57.1750068665,657.9829711914,651.207824707,698.3280029297,,,,,2021-01-30,0.13638305659999972,2.8813476561999778,,,青森県
JP-02,AOMORI,2021-02-03,723.9561767578,713.9201049805,791.3686523438,13.5379390717,13.3559617996,16.9272079468,47.4975166321,46.3369407654,59.1206169128,661.6843261719,653.0394897461,712.7700195312,,,,,2021-01-30,0.13265419010000024,3.4130859375,,,青森県
