japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-01-11,14898.837890625,14796.345703125,15128.2744140625,510.5971679688,508.2418823242,530.5661621094,1592.2099609375,1578.1655273438,1724.5235595703,12774.0849609375,12692,12845.8125,NA,NA,NA,NA,2021-01-10,4.597167968800022,181.837890625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-12,15086.8505859375,14889.3662109375,15538.2109375,515.6032714844,511.0828857422,553.935546875,1689.4447021484,1661.1304931641,1956.3529052734,12862.3134765625,12698.1181640625,12999.2529296875,NA,NA,NA,NA,2021-01-10,5.006103515599989,188.0126953125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-13,15281.103515625,14995.388671875,15947.7509765625,520.9151000977,514.4002075195,576.1659545898,1784.7473144531,1742.0859375,2187.1723632812,12955.884765625,12719.9951171875,13151.6923828125,NA,NA,NA,NA,2021-01-10,5.311828613300008,194.2529296875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-14,15481.3564453125,15113.55078125,16356.0537109375,526.5399169922,518.1838989258,597.4055175781,1880.6885986328,1823.6456298828,2419.1071777344,13054.439453125,12752.859375,13303.0048828125,NA,NA,NA,NA,2021-01-10,5.624816894499986,200.2529296875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-15,15687.388671875,15243.015625,16763.81640625,532.4893188477,522.4273071289,617.8264770508,1976.9307861328,1905.5336914062,2651.1711425781,13158.1513671875,12796.224609375,13454.771484375,NA,NA,NA,NA,2021-01-10,5.949401855500014,206.0322265625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-16,15899.701171875,15383.71484375,17172.28515625,538.7805175781,527.131652832,637.5794067383,2073.7453613281,1988.0554199219,2883.2453613281,13267.2119140625,12849.697265625,13608.140625,NA,NA,NA,NA,2021-01-10,6.2911987303999695,212.3125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-17,16117.51171875,15534.390625,17580.91796875,545.3754272461,532.2456665039,656.7461547852,2170.8752441406,2070.9985351562,3114.6140136719,13381.2666015625,12912.412109375,13763.4775390625,NA,NA,NA,NA,2021-01-10,6.594909668000014,217.810546875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-18,16339.849609375,15693.7021484375,17988.123046875,552.3077392578,537.7910766602,675.4567871094,2267.1096191406,2153.2434082031,3343.1892089844,13500.4208984375,12984.0322265625,13920.935546875,NA,NA,NA,NA,2021-01-10,6.932312011699992,222.337890625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-19,16568.25390625,15862.7421875,18395.92578125,559.5659790039,543.7470703125,693.7784423828,2363.8439941406,2236.1481933594,3570.7158203125,13624.75,13064.2392578125,14080.5048828125,NA,NA,NA,NA,2021-01-10,7.258239746100003,228.404296875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-20,16802.533203125,16040.958984375,18804.421875,567.1421508789,550.0954589844,711.7904663086,2460.8203125,2319.4812011719,3796.6870117188,13754.447265625,13152.837890625,14242.9677734375,NA,NA,NA,NA,2021-01-10,7.576171875,234.279296875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-21,17042.345703125,16227.6865234375,19213.744140625,575.0546875,556.8450317383,729.5946044922,2558.1882324219,2403.3933105469,4021.2458496094,13889.0361328125,13249.0380859375,14408.298828125,NA,NA,NA,NA,2021-01-10,7.912536621100003,239.8125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-22,17287.646484375,16422.5859375,19624.0625,583.3189697266,564.0026245117,747.2777709961,2655.6005859375,2487.5642089844,4243.7895507812,14028.7333984375,13352.7470703125,14576.9912109375,NA,NA,NA,NA,2021-01-10,8.264282226600017,245.30078125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-23,17538.822265625,16625.763671875,20035.75,591.9578857422,571.5842895508,764.9197387695,2753.150390625,2572.0874023438,4464.41015625,14173.7841796875,13463.947265625,14749.166015625,NA,NA,NA,NA,2021-01-10,8.638916015599989,251.17578125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-24,17796.537109375,16837.58984375,20450.431640625,600.9177246094,579.5315551758,782.505065918,2852.0986328125,2658.1394042969,4685.1743164062,14323.69921875,13581.931640625,14924.53125,NA,NA,NA,NA,2021-01-10,8.959838867200006,257.71484375,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-25,18059.41796875,17056.541015625,20866.5625,610.2471923828,587.8848266602,800.1580810547,2950.8139648438,2744.1916503906,4903.4780273438,14478.6533203125,13706.63671875,15103.9033203125,NA,NA,NA,NA,2021-01-10,9.329467773399983,262.880859375,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-26,18328.064453125,17282.984375,21284.859375,619.9344482422,596.6282348633,817.8969726562,3049.7822265625,2830.6962890625,5120.12890625,14638.796875,13838.0185546875,15287.2509765625,NA,NA,NA,NA,2021-01-10,9.687255859400011,268.646484375,NA,NA,北海道
