日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",累計死者数,PCR検査数,入院中・療養中等の数,累計重症者数,累計退院・療養解除の数
2020/01/16,1,1,0,,,,
2020/01/17,1,0,0,,,,
2020/01/18,1,0,0,,,,
2020/01/19,1,0,0,,,,
2020/01/20,1,0,0,,,,
2020/01/21,1,0,0,,,,
2020/01/22,1,0,0,,,,
2020/01/23,1,0,0,,,,
2020/01/24,2,1,0,,,,
2020/01/25,3,1,0,,,,
2020/01/26,4,1,0,,,,
2020/01/27,4,0,0,,,,
2020/01/28,7,3,0,,,,
2020/01/29,8,1,0,,,,
2020/01/30,14,6,0,,,,
2020/01/31,17,3,0,,,,
2020/02/01,20,3,0,,,,
2020/02/02,20,0,0,,,,
2020/02/03,20,0,0,,,,
2020/02/04,23,3,0,,,,
2020/02/05,25,2,0,,,,
2020/02/06,25,0,0,,,,
2020/02/07,25,0,0,,,,
2020/02/08,26,1,0,,,,
2020/02/09,26,0,0,,,,
2020/02/10,26,0,0,,,,
2020/02/11,28,2,0,,,,
2020/02/12,29,1,0,,,,
2020/02/13,33,4,1,,,,
2020/02/14,41,8,1,,,,
2020/02/15,53,12,1,,,,
2020/02/16,59,6,1,,,,
2020/02/17,66,7,1,,,,
2020/02/18,74,8,1,"1,024",,,
2020/02/19,84,10,1,692,,,
2020/02/20,94,10,1,793,,,
2020/02/21,109,15,1,"1,591",,,
2020/02/22,135,26,1,"1,166",,,
2020/02/23,147,12,1,654,,,
2020/02/24,160,13,1,602,,,
2020/02/25,171,11,1,928,,,
2020/02/26,189,18,3,"1,405",,,
2020/02/27,214,25,4,"1,399",,,
2020/02/28,233,19,5,"1,603",,,
2020/02/29,242,9,5,"1,067",,,
2020/03/01,256,14,6,682,,,
2020/03/02,274,18,6,"1,202",,,
2020/03/03,293,19,6,"1,776",,,
2020/03/04,329,36,6,"1,488",,,
2020/03/05,361,32,6,"1,678",,,
2020/03/06,417,56,6,"2,063",,,
2020/03/07,461,44,6,"1,722",,,
2020/03/08,494,33,7,608,,,
2020/03/09,522,28,9,"1,248",,,
2020/03/10,581,59,12,"2,052",,,
2020/03/11,634,53,15,"1,885",,,
2020/03/12,690,56,19,"1,739",,,
2020/03/13,724,34,21,"1,564",,,
2020/03/14,787,63,22,"1,593",,,
2020/03/15,818,31,24,613,,,
2020/03/16,835,17,28,"1,080",,,
2020/03/17,880,45,29,"1,779",,,
2020/03/18,921,41,31,"1,791",,,
2020/03/19,961,40,33,"1,745",,,
2020/03/20,"1,015",54,35,"1,466",,,
2020/03/21,"1,054",39,36,898,,,
2020/03/22,"1,102",48,41,857,,,
2020/03/23,"1,141",39,42,"1,392",,,
2020/03/24,"1,213",72,43,"2,327",,,
2020/03/25,"1,309",96,45,"1,909",,,
2020/03/26,"1,402",93,47,"2,149",,,
2020/03/27,"1,525",123,52,"2,265",,,
2020/03/28,"1,727",202,55,"2,526",,,
2020/03/29,"1,900",173,56,"2,109",,,
2020/03/30,"1,993",93,59,"3,199",,,
2020/03/31,"2,234",241,66,"4,082",,,
2020/04/01,"2,502",268,69,"4,096",,,
2020/04/02,"2,781",279,73,"5,070",,,
2020/04/03,"3,138",357,77,"5,732",,,
2020/04/04,"3,507",369,84,"5,921",,,
2020/04/05,"3,866",359,93,"3,699",,,
2020/04/06,"4,110",244,97,"5,469",,,
2020/04/07,"4,478",368,98,"7,376",,,
2020/04/08,"5,005",527,105,"8,064",,,
2020/04/09,"5,583",578,109,"8,318",,,
2020/04/10,"6,227",644,122,"8,310",,,
2020/04/11,"6,947",720,132,"7,614",,,
2020/04/12,"7,454",507,138,"4,412",,,
2020/04/13,"7,757",303,143,"7,024",,,
2020/04/14,"8,237",480,162,"9,205",,,
2020/04/15,"8,786",549,179,"9,224",,,
2020/04/16,"9,362",576,191,"8,916",,,
2020/04/17,"9,922",560,207,"9,633",,,
2020/04/18,"10,511",589,224,"8,708",,,
2020/04/19,"10,887",376,238,"4,645",,,
2020/04/20,"11,232",345,263,"7,142",,,
2020/04/21,"11,623",391,283,"8,855",,,
2020/04/22,"12,065",442,299,"9,412",,,
2020/04/23,"12,500",435,328,"9,783",,,
2020/04/24,"12,942",442,345,"9,957",,,
2020/04/25,"13,324",382,360,"8,477",,,
2020/04/26,"13,544",220,372,"4,314",,,
2020/04/27,"13,718",174,394,"7,450",,,
2020/04/28,"14,000",282,413,"10,077",,,
2020/04/29,"14,223",223,435,"7,333",,,
2020/04/30,"14,424",201,457,"8,345",,,
2020/05/01,"14,690",266,486,"9,638",,,
2020/05/02,"14,990",300,517,"8,971",,,
2020/05/03,"15,193",203,536,"5,044",,,
2020/05/04,"15,369",176,556,"5,356",,,
2020/05/05,"15,489",120,566,"5,174",,,
2020/05/06,"15,593",104,577,"4,663",,,
2020/05/07,"15,689",96,590,"8,197",,,
2020/05/08,"15,777",88,606,"9,554","6,302",287,"8,110"
2020/05/09,"15,891",114,624,"8,647","6,250",266,"8,276"
2020/05/10,"15,960",69,633,"3,662","6,074",267,"8,514"
2020/05/11,"16,005",45,657,"7,371","5,914",249,"8,903"
2020/05/12,"16,085",80,678,"9,100","5,162",243,"9,851"
2020/05/13,"16,140",55,696,"8,902","4,732",259,"10,321"
2020/05/14,"16,240",100,713,"8,556","4,339",245,"10,792"
2020/05/15,"16,290",50,729,"8,288","4,025",237,"11,136"
2020/05/16,"16,347",57,748,"6,637","3,787",232,"11,398"
2020/05/17,"16,373",26,756,"2,900","3,667",230,"11,547"
2020/05/18,"16,404",31,768,"6,664","3,400",228,"11,867"
2020/05/19,"16,431",27,773,"7,619","3,009",213,"12,269"
2020/05/20,"16,470",39,784,"6,707","2,761",210,"12,655"
2020/05/21,"16,508",38,799,"6,420","2,495",195,"12,988"
2020/05/22,"16,533",25,814,"5,828","2,293",176,"13,227"
2020/05/23,"16,559",26,826,"4,594","2,130",174,"13,396"
2020/05/24,"16,601",42,839,"2,009","2,111",174,"13,446"
2020/05/25,"16,622",21,852,"5,053","1,939",165,"13,643"
2020/05/26,"16,651",29,863,"6,149","1,788",155,"13,806"
2020/05/27,"16,686",35,871,"6,331","1,637",147,"13,979"
2020/05/28,"16,749",63,884,"6,275","1,556",136,"14,085"
2020/05/29,"16,822",73,890,"6,329","1,466",131,"14,237"
2020/05/30,"16,867",45,895,"5,342","1,452",123,"14,290"
2020/05/31,"16,902",35,898,"2,746","1,436",119,"14,333"
2020/06/01,"16,939",37,900,"5,585","1,341",115,"14,481"
2020/06/02,"16,990",51,903,"7,053","1,270",113,"14,602"
2020/06/03,"17,020",30,908,"7,341","1,207",101,"14,690"
2020/06/04,"17,067",47,913,"7,127","1,141",102,"14,795"
2020/06/05,"17,111",44,917,"8,046","1,064",98,"14,901"
2020/06/06,"17,157",46,919,"6,612","1,042",98,"14,961"
2020/06/07,"17,195",38,919,"2,553","1,060",98,"14,970"
2020/06/08,"17,216",21,922,"6,352","1,028",99,"15,035"
2020/06/09,"17,261",45,923,"8,485",965,92,"15,120"
2020/06/10,"17,299",38,925,"7,718",923,91,"15,200"
2020/06/11,"17,341",42,925,"7,312",854,88,"15,308"
2020/06/12,"17,402",61,929,"7,971",810,82,"15,395"
2020/06/13,"17,447",45,931,"6,990",801,76,"15,451"
2020/06/14,"17,522",75,931,"2,518",819,73,"15,493"
2020/06/15,"17,594",72,933,"6,872",871,71,"15,508"
2020/06/16,"17,638",44,938,"7,836",760,80,"15,657"
2020/06/17,"17,684",46,939,"7,661",712,70,"15,737"
2020/06/18,"17,754",70,940,"7,439",707,62,"15,811"
2020/06/19,"17,812",58,959,"7,526",677,62,"15,880"
2020/06/20,"17,876",64,959,"6,275",711,61,"15,911"
2020/06/21,"17,931",55,960,"3,701",732,59,"15,936"
2020/06/22,"17,974",43,961,"8,259",706,59,"16,007"
2020/06/23,"18,031",57,965,"7,315",698,62,"16,058"
2020/06/24,"18,127",96,969,"8,344",713,60,"16,116"
2020/06/25,"18,209",82,971,"7,458",727,58,"16,188"
